Human Phenotype,Cerebellar atrophy,Abnormal corpus callosum morphology,Abnormal cerebellum morphology,Cerebellar vermis hypoplasia,Cerebellar hypoplasia,Morphological central nervous system abnormality,Cerebral atrophy,Abnormal cerebral morphology,Morphological abnormality of the pyramidal tract,Hypoplasia of the corpus callosum,Abnormal cerebral ventricle morphology,Cerebral cortical atrophy,Abnormality of the spinal cord,Spinal cord compression,Neurodegeneration,Global brain atrophy,Degeneration of the lateral corticospinal tracts,Abnormal cerebellar vermis morphology,Abnormal caudate nucleus morphology,Caudate atrophy,Abnormal brainstem morphology,Hypoplasia of the brainstem,Spinal arteriovenous malformation,Spina bifida,Abnormal midbrain morphology,Abnormal globus pallidus morphology,Morphological abnormality of the corticospinal tract,Abnormal cerebral white matter morphology,Spinocerebellar tract degeneration,Diffuse cerebral atrophy,Brainstem dysplasia,Abnormal periventricular white matter morphology,Granulovacuolar degeneration,Abnormal cerebral cortex morphology,Cortical dysplasia,Olivopontocerebellar atrophy,Aplasia/Hypoplasia involving the central nervous system,Abnormality of the spinocerebellar tracts,White mater abnormalities in the posterior periventricular region,Aplasia/Hypoplasia of the cerebellar vermis,Pallor of dorsal columns of the spinal cord,Atrophy of the spinal cord,Hypodysplasia of the corpus callosum,Hypoplasia of the ventral pons,Cerebellar vermis atrophy,Cerebral hypoplasia,Pontocerebellar atrophy,Frontotemporal cerebral atrophy,Hypoplastic olfactory lobes,Late-onset spinocerebellar degeneration,Frontal cortical atrophy,"Abnormal aggressive, impulsive or violent behavior",Frontoparietal cortical dysplasia,Olivopontocerebellar hypoplasia,Cerebral cortical neurodegeneration,Dysplastic corpus callosum,Dorsal column degeneration,Central nervous system degeneration,Corticospinal tract hypoplasia,Cerebellar dysplasia,Hypoplasia of olfactory tract,Atrophy of the dentate nucleus,Generalized cerebral atrophy/hypoplasia,Inferior vermis hypoplasia,Hypoplasia of the optic tract,Temporal cortical atrophy,Corticospinal tract atrophy,Pallidal degeneration,Spinocerebellar tract disease in lower limbs,Spinocerebellar atrophy,Dysfunction of lateral corticospinal tracts,Cerebral degeneration,Hypoplasia of the frontal lobes,Abnormal morphology of the limbic system,Atrophy/Degeneration involving the spinal cord,Hypoplasia of the pyramidal tract,Aplasia/Hypoplasia of the cerebellum,Abnormal pons morphology,Aplasia/Hypoplasia of the brainstem,Aplasia/Hypoplasia of the pyramidal tract,Aplasia/Hypoplasia of the cerebrum,Aplasia/Hypoplasia involving the corticospinal tracts,Atrophy/Degeneration affecting the brainstem,Atrophy/Degeneration affecting the central nervous system,Atrophy/Degeneration affecting the cerebrum,Aplasia/Hypoplasia of the corpus callosum,Corpus callosum atrophy,Atrophy/Degeneration involving the corticospinal tracts,Atrophy/Degeneration involving the caudate nucleus,Abnormality of the septum pellucidum,Abnormal choroid plexus morphology,Cerebellar cortical atrophy,Spinal cord posterior columns myelin loss,Abnormal cerebral artery morphology,Spinal hemangioblastoma,Spinal arachnoid cyst,Spinal dysraphism,Spinal cord tumor,Abnormal spinal meningeal morphology,Spinal myoclonus,Anterior pituitary hypoplasia,Abnormal meningeal morphology,Abnormal dura mater morphology,Abnormality of the falx cerebri,Abnormality of the diencephalon,Abnormality of thalamus morphology,Cervical spinal cord atrophy,Abnormal fourth ventricle morphology,Abnormal third ventricle morphology,Abnormal corpus striatum morphology,Aplasia/Hypoplasia of the optic tract,Abnormality of hindbrain morphology,Abnormal metencephalon morphology,Abnormality of the dorsal column of the spinal cord,Abnormality of the medulla oblongata,Abnormality of the posterior pituitary,Posterior pituitary hypoplasia,,Abnormal cerebellar peduncle morphology,Abnormal superior cerebellar peduncle morphology,Parietal cortical atrophy,Occipital cortical atrophy,Hypoplasia of the pons,Subcortical cerebral atrophy,Abnormal hypothalamus morphology,Aplasia/Hypoplasia of the cerebral white matter,Cerebral white matter hypoplasia,Abnormality of brain morphology,Brain atrophy,Abnormal cerebral vein morphology,Abnormality of the pituitary gland,Extra-axial cerebrospinal fluid accumulation,Abnormal circle of Willis morphology,Abnormal nervous system morphology,Abnormal pineal morphology,Abnormal subarachnoid space morphology,Abnormal basal ganglia MRI signal intensity,Abnormal neuron morphology,Neurodevelopmental abnormality,Cerebral white matter atrophy,Superior cerebellar dysplasia,Abnormality of olfactory lobe morphology,Hypothalamic atrophy,Abnormal hippocampus morphology,Hypoplastic hippocampus,Abnormal lateral ventricle morphology,Hypoplastic anterior commissure,Abnormal cerebellar cortex morphology,Abnormal conus terminalis morphology,Abnormal putamen morphology,Focal cortical dysplasia,Focal cortical dysplasia type I,Focal cortical dysplasia type II,Focal cortical dysplasia type IIa,Abnormal diffusion weighted cerebral MRI morphology,Spontaneous cerebrospinal fluid leak,Posterior atrophy of corpus callosum,Degeneration of the striatum,Hypoplasia of the olfactory bulb,Abnormal morphology of the olfactory bulb,Abnormal substantia nigra morphology,Spinal meningioma,Diffuse cerebellar atrophy,Cerebellar hemisphere hypoplasia,Cerebral cortical hemiatrophy,Abnormal dentate nucleus morphology,Abnormality of forebrain morphology,Spinal cord lesion,Abnormal cerebral vascular morphology,Abnormal arachnoid mater morphology,Abnormal glial cell morphology,Abnormal oligodendroglia morphology,Abnormal astrocyte morphology,Abnormal neural tube morphology,Hippocampal atrophy,Atrophic pituitary gland,Abnormality of neutrophil morphology in CSF
HP:#,HP:0001272,HP:0001273,HP:0001317,HP:0001320,HP:0001321,HP:0002011,HP:0002059,HP:0002060,HP:0002062,HP:0002079,HP:0002118,HP:0002120,HP:0002143,HP:0002176,HP:0002180,HP:0002283,HP:0002314,HP:0002334,HP:0002339,HP:0002340,HP:0002363,HP:0002365,HP:0002390,HP:0002414,HP:0002418,HP:0002453,HP:0002492,HP:0002500,HP:0002503,HP:0002506,HP:0002508,HP:0002518,HP:0002528,HP:0002538,HP:0002539,HP:0002542,HP:0002977,HP:0003133,HP:0006812,HP:0006817,HP:0006825,HP:0006827,HP:0006849,HP:0006850,HP:0006855,HP:0006872,HP:0006879,HP:0006892,HP:0006894,HP:0006904,HP:0006913,HP:0006919,HP:0006930,HP:0006955,HP:0006964,HP:0006989,HP:0007006,HP:0007009,HP:0007016,HP:0007033,HP:0007036,HP:0007047,HP:0007058,HP:0007068,HP:0007096,HP:0007112,HP:0007117,HP:0007132,HP:0007232,HP:0007263,HP:0007299,HP:0007313,HP:0007333,HP:0007343,HP:0007344,HP:0007348,HP:0007360,HP:0007361,HP:0007362,HP:0007363,HP:0007364,HP:0007365,HP:0007366,HP:0007367,HP:0007369,HP:0007370,HP:0007371,HP:0007372,HP:0007374,HP:0007375,HP:0007376,HP:0008278,HP:0008311,HP:0009145,HP:0009713,HP:0009745,HP:0010301,HP:0010302,HP:0010303,HP:0010531,HP:0010627,HP:0010651,HP:0010652,HP:0010653,HP:0010662,HP:0010663,HP:0010873,HP:0010950,HP:0010951,HP:0010994,HP:0011000,HP:0011282,HP:0011283,HP:0011397,HP:0011441,HP:0011751,HP:0011757,HP:0011931,HP:0011932,HP:0012082,HP:0012104,HP:0012105,HP:0012110,HP:0012157,HP:0012286,HP:0012429,HP:0012430,HP:0012443,HP:0012444,HP:0012480,HP:0012503,HP:0012510,HP:0012518,HP:0012639,HP:0012681,HP:0012703,HP:0012751,HP:0012757,HP:0012759,HP:0012762,HP:0020185,HP:0025057,HP:0025058,HP:0025100,HP:0025517,HP:0030047,HP:0030303,HP:0031422,HP:0031938,HP:0031982,HP:0032046,HP:0032047,HP:0032051,HP:0032052,HP:0032615,HP:0032934,HP:0034007,HP:0040140,HP:0040326,HP:0040327,HP:0045007,HP:0100010,HP:0100275,HP:0100307,HP:0100308,HP:0100321,HP:0100547,HP:0100561,HP:0100659,HP:0100700,HP:0100705,HP:0100706,HP:0100707,HP:0410043,HP:0410170,HP:0410279,HP:0410310
Associated Human Genes (Gene Symbols),SACS,RERE,RERE,RERE,RERE,TP53,NDE1,NDE1,SLC6A3,RERE,RERE,SACS,ACY1,NEPRO,CFAP410,TBK1,SLC33A1,RERE,SLC2A3,SLC2A3,RERE,MYH3,ENG,MYH3,ATXN8OS,SLC44A1,SLC33A1,ZEB2,ATXN3,PNKP,TMEM216,RFWD3,MAPT,NDE1,TSC1,TTC19,NDE1,ATXN2,NAGA,RERE,SETX,NEFL,BUB1B,TSEN15,GRID2,BUB1B,LAMA2,TTC26,PEX1,GCLC,PUS7,PRODH,TUBB2B,PPP2R1A,POLG,KAT5,ATXN1,PRNP,L1CAM,KIAA0586,OFD1,WDR81,ADGRV1,L1CAM,TRAPPC12,TMEM106B,ATP6,GCDH,MAN2B1,ATXN1,BDNF,PANK2,CEP63,GRIN1,TWNK,FKTN,RERE,EPG5,MYH3,ATP1A2,NDE1,L1CAM,ATXN1,NDE1,NDE1,RERE,HSD17B4,SLC33A1,SLC2A3,APC2,ZSWIM6,PLAA,PRPS1,ABCG8,CCND1,FOXC2,MYH3,ZFTA,MYLK,DRD2,SOX3,SACS,DLL1,GLI2,NDE1,MFF,NEFL,HRAS,TAOK1,NDE1,TRAPPC12,RERE,RERE,DARS2,FUZ,SOX3,DYRK1A,KIAA0586,KIAA0586,ATXN2,SACS,SNRPN,ARHGEF2,ESPN,SMO,NARS1,KDM1A,TP53,NDE1,GNAI3,FSHR,PPP1R21,ANGPTL6,TP53,KANSL1,GRIN1,TRNL1,CFAP410,NDE1,ALG11,ARMC9,MKS1,SPG11,GRIN1,SCN1A,GRIN1,RERE,TBC1D24,ZMYM2,VPS13A,NUP133,DEPDC5,TSC1,DEPDC5,NDUFAF8,FBN1,ATG7,SLC2A3,POU3F3,DLL1,ATXN8OS,TRAF7,FMR1,SON,ACTB,PDGFB,NDE1,SLC33A1,NDE1,SCN1A,TSC1,PLP1,TSC1,MLXIPL,NEK1,NDE1,CEBPE
,WDR81,KCNQ2,ACY1,SACS,SACS,NDE1,NTNG2,MYO5A,SLC33A1,KCNQ2,NDE1,NDE1,SPG7,IDS,PFN1,WDR81,KPNA3,SACS,VPS13A,VPS13A,CIT,CIT,RASA1,FANCM,SLC44A1,GCDH,TBK1,CACNA1I,ATXN1,GLB1,INPP5E,EOGT,,FKTN,RSRC1,ATXN1,KAT6A,TDP1,,SACS,,FXN,,TSEN54,ITPR1,CEP63,RORA,SPG21,,,PTPN23,UNC80,,POMK,,KIAA0586,ABCD1,TPI1,IQSEC2,LAMA1,CPLANE1,ATN1,SCN2A,ASXL3,,BICRA,ATP6,PANK2,,PNPLA6,ALDH18A1,GLB1,CEP135,NDE1,NEFL,,SACS,RERE,CIT,FKTN,KAT6A,IQSEC2,LMNB1,NTNG2,NTNG2,KCNQ2,OPA1,TBK1,VPS13A,ARNT2,PHGDH,SIL1,ATXN2,GANAB,VHL,,RTL1,NF2,TGFBR1,TOR1A,TBX3,NDE1,GLI2,SUFU,MLXIPL,NDE1,FXN,GPC3,KIAA0586,SLC2A3,BMP4,ACY1,ACY1,ATXN1,GALC,TBX3,DYRK1A,SACS,LAMA1,TBP,SNRPN,SNRPN,EPG5,KRAS,CPLANE1,ND6,SLC2A1,NDE1,NTNG2,ALX4,TP53,TBCK,COL3A1,NDE1,INSR,ENG,MFF,SPG7,LMNB2,HSD17B4,,ANOS1,,NDE1,GRIN1,YIPF5,ZEB2,POLG,PIGG,GCDH,TSC1,,TSC2,NPRL3,,,,RNASEH2B,ZSWIM6,GLI2,SLC44A1,TERT,MPLKIP,TSEN34,ACTG1,SLC20A2,MYO5A,NFIA,TGFBR1,SACS,TREM2,,APC2,SUFU,BICRA,,
,COA7,ACY1,FKTN,LAMA1,WDR81,LMNB2,DCPS,KAT6A,TBK1,SACS,LMNB2,NTNG2,PIGG,IDS,SLC2A3,TBCK,TBK1,WDR81,GCDH,TIMM8A,SACS,CHMP1A,ACVRL1,MLXIPL,FBXO7,NDUFS2,MLXIPL,NCDN,ATXN2,DMXL2,RPGRIP1L,FKRP,,NTNG2,TUBB,ATXN2,LHX4,MAN2B1,,LAMA1,,MORC2,,TSEN34,SACS,HSD17B4,CCDC88C,COG4,,,TRIP12,MYT1L,,TOE1,,NONO,,ABHD5,DEAF1,RAC1,TMEM216,,PLA2G6,LAMA1,,ABCA7,,,,PEX6,WT1,,PHC1,VPS13A,FXN,,WDR81,SACS,CHMP1A,,ZEB2,DEAF1,OPA1,TARDBP,DCPS,ACY1,POLR3K,MLXIPL,TIMM8A,RSRC1,GNAS,SHANK3,PRPS1,NDE1,,,FANCM,CCND1,LOX,KCTD17,ARNT2,SUFU,NDE1,PTCH1,PTCH1,MTRFR,SPG7,LAMA1,USP7,VPS13A,,FKTN,FKTN,SETX,,DISP1,,LAMA1,TMEM216,,SNRPN,MAGEL2,RERE,GCDH,CPLANE1,ZEB2,ZEB2,LMNB2,DCPS,EDN1,NDE1,TET3,ENG,LMNB2,KANSL1,ND6,ETHE1,FIG4,MYO5A,TRAPPC11,,PIGA,,VPS13A,SLC35A2,ZIC1,,TWNK,CREBBP,RANBP2,DEPDC5,,MTOR,,,,,ATXN3,GSX2,PTCH1,GCH1,SUFU,GTF2E2,PTRH2,TCTN3,WDR81,KAT6A,FUZ,COL4A1,GANAB,PRNP,,TREM2,PTCH1,ABCA7,,
,OPA1,FKTN,OFD1,FKRP,FKTN,MYO5A,RTEL1,LHX4,PRNP,WDR81,FKTN,ZMIZ1,MLXIPL,COL2A1,PPARGC1A,GABRG2,SPG7,ACY1,NDUFS2,TYROBP,LAMA1,TUBB3,,SUFU,KIAA0753,NDUFB8,GTF2IRD2,RTTN,GCLC,CARS2,,OPA1,,DCPS,DLL1,ERCC6,ZEB2,RNASEH1,,WDR81,,SPG7,,VRK1,TDP1,CEP135,CCDC88C,C9ORF72,,,VPS13A,TREM2,,FKRP,,MCOLN1,,TREX1,FLII,FKTN,SOX9,,GABRG2,BMP4,,CHMP2B,,,,,PAX6,,PYCR2,GABRG2,MORC2,,ACY1,LAMA1,TUBB3,,TBCE,FLII,DNAJC3,DCPS,RTEL1,FKTN,VPS41,GTF2IRD2,TYROBP,DCPS,SMARCB1,SC5D,,BICC1,,,MLXIPL,FLI1,ACTA2,SGCE,NONO,PTCH1,SUFU,TDGF1,DCC,SUFU,PI4KA,B9D2,ATP6AP2,GCDH,,OFD1,OFD1,FAR1,,GLI2,,TMEM216,CLCN3,,MAGEL2,NDN,EXOSC1,CIB2,TOPORS,PSAT1,NARS1,MYO5A,RTEL1,RASA1,FANCM,LMNB2,TGFBR3,MYO5A,VAX1,TGFBR1,TACO1,PRKAR1B,KAT6A,OPA1,,PEX1,,GABRG2,NDE1,CACNA1I,,ATP6V1B2,EP300,FTL,AKT3,,DEPDC5,,,,,RNASEH2A,TUBB3,TDGF1,FBXO7,PDGFB,CARS2,LAMB1,MBTPS2,CP,LHX4,ACY1,CFH,PKD2,CDKN2B,,TSC1,COMT,CAMTA1,,
,SLC9A1,OFD1,RTEL1,FKTN,OFD1,TARDBP,CACNA1I,ZEB2,DPYS,FKTN,OFD1,RTEL1,SUFU,PHEX,FUS,SQSTM1,SPG11,FKTN,NDUFB8,FTL,NDUFB3,AFF3,,COMT,TMEM67,SLC30A10,ABCD1,RB1,ATXN3,PRKAR1B,,CPLX1,,RTEL1,DCPS,COQ2,TBCE,ATXN3,,ACY1,,PNPLA6,,TSEN2,TUBB,COASY,DPM1,PRKAR1B,,,NTNG2,RPL10,,TSEN54,,GPSM2,,,RAI1,GPSM2,TOPORS,,SCN1B,INTS1,,PSEN1,,,,,,,CEP152,SETD1B,SPG7,,FKTN,FKRP,AFF3,,CACNA1I,RAI1,COG8,RTEL1,CACNA1I,OFD1,STUB1,FKBP6,FTL,TNIK,SETBP1,ZPR1,,TGFBR1,,,SUFU,CREBBP,NOTCH3,,GHRHR,TGFBR1,PTCH1,NODAL,TMEM216,FKRP,,AFF3,ODC1,RNASEH2B,,RTEL1,RTEL1,ABCD1,,LHX4,,CLCN3,TMEM67,,NDN,MAGEL2,FKRP,MYO7A,VPS16,COX2,TMX2,KAT6A,CACNA1I,PLCB4,AR,LMNB1,THSD1,TARDBP,BPTF,IL1RAPL1,VPS11,MAPT,LHX4,MYL9,,SOX10,,SETD1B,OSTM1,PEX10,,,SUPT16H,,CNTNAP2,,NPRL3,,,,,HTT,SMCHD1,NODAL,NR4A2,SMO,EMC1,,MYO5A,CLCN3,ZEB2,SETD2,APP,BICC1,TSEN54,,PSEN1,SUPT16H,RNU4ATAC,,
,SEMA6B,NTNG2,TSEN54,OFD1,TMEM237,KAT6A,NCDN,ECM1,MLXIPL,UNC80,NOTCH2NLC,FGFR1,TGFBR1,KIF1B,RNASEH2B,GFM1,SQSTM1,OFD1,HTT,HTT,FKRP,FKTN,,SUPT16H,CPLANE1,VPS41,SQSTM1,HYLS1,TDP1,TRIM8,,FGFRL1,,CACNA1I,TNIK,ATXN7,CACNA1I,ATXN3,,FKRP,,CYP7B1,,SEPSECS,STXBP1,PHC1,DPM1,TREM2,,,SRCAP,ECM1,,TSEN54,,ODC1,,,PDHB,ADGRG1,KIF7,,HCN1,KIAA0753,,VCP,,,,,,,RTTN,ZEB2,PNPLA6,,OFD1,EXOSC1,FKTN,,TSEN54,PDHB,TWNK,CACNA1I,NCDN,UNC80,EMC1,ABCD1,HTT,DYNC1I2,MDM2,,,RNASEH2B,,,COMT,NF2,SMAD3,,MADD,COMT,TDGF1,GAS1,POMGNT1,JAM2,,FKTN,CSPP1,NDUFS2,,DCC,DCC,ALDH18A1,,GLI2,,LMNB1,ARL3,,MAGEL2,OCA2,DISP1,FGFR1,TCTN3,TRNH,KDM1A,LHX4,NCDN,EPHB4,LHX4,MADD,,KAT6A,GALNT2,LOX,ETHE1,TARDBP,AGRN,PLAA,,EDN3,,ZEB2,CARS2,CCDC174,,,EXT1,,COL4A1,,,,,,,TREX1,,GAS1,MAPT,SMARCE1,ERCC2,,EHMT1,FTL,ECM1,RUNX2,MAT2A,NARS1,ETFDH,,TMEM106B,COLEC10,CPA6,,
,RTTN,UNC80,B3GALNT2,TMEM67,RTEL1,LHX4,RTTN,CACNA1I,GTF2IRD2,DCPS,ZEB2,TRMT1,COMT,EXT1,HSD17B10,PRNP,CHCHD10,TMEM237,JPH3,FOXP2,NDUFA1,TUBB,,COLEC10,TMEM237,POLR2A,ALS2,SRPX2,MAN2B1,KCNA1,,RTTN,,B3GALNT2,SCN1A,MBTPS2,TSEN54,ATXN1,,FKTN,,ABCD1,,,KIF1A,GCDH,FA2H,HSD17B10,,,ZMIZ1,CACNA1I,,POMT2,,DCHS1,,,,RXYLT1,FAM149B1,,TBP,GRM1,,CYB5A,,,,,,,TRAPPC14,DCC,CYP7B1,,TMEM237,ZIC1,TUBB,,NALCN,,DEGS1,NCDN,RTTN,DCPS,MAG,SQSTM1,FOXP2,LHX4,NRAS,,,LOX,,,SUPT16H,SMARCB1,LOX,,GLI2,RTTN,NODAL,GAS1,DCC,CLN8,,OFD1,DNMT1,PDE10A,,TSEN54,TSEN54,,,LHX4,,TMEM67,CSPP1,,OCA2,DOCK7,GLI2,POGZ,KIAA0753,NACC1,WARS2,ZEB2,RTTN,EPHB4,YY1,GRIK2,,LHX4,PSMD12,DCC,NDUFAF6,ALS2,ZEB2,POLR3K,,MITF,,DCC,VPS13A,HCCS,,,LETM1,,NPRL2,,,,,,,PDE8B,,GAS1,ATXN2,SMARCB1,GTF2H5,,,PDGFRB,CACNA1I,DKK1,TNNT2,WAC,GRN,,TSC2,FLNB,GRM7,,
,BRAT1,DCPS,SLC9A1,CPLANE1,TSEN54,WAS,TBCK,TSEN54,ABCD1,ZEB2,TBCE,TSEN54,SUPT16H,CREBBP,CHCHD10,TXN2,CPT1C,ALX4,BSCL2,JPH3,PTCH1,FKRP,,ZIC1,CEP120,DLAT,FLII,ABCD1,PLP1,HSD17B10,,TBCK,,NCDN,ADGRG1,,NALCN,GCLC,,OFD1,,LYST,,,GRID2,FH,VPS4A,PSEN1,,,SVBP,RTTN,,RTTN,,PIGH,,,,ADGRG1,TCTN3,,STX1B,MDH1,,GRM7,,,,,,,WDR62,CACNA1I,ABCD1,,RTEL1,DCC,FKRP,,SHH,,DNMT1,RTTN,TBCK,ZEB2,AIMP1,STX1A,JPH3,CPLX1,FH,,,SMAD3,,,COLEC10,LZTR1,MAT2A,,LHX4,TMEM216,GAS1,SHH,GLI3,NDUFS2,,ZIC1,MED25,NDUFB8,,B3GALNT2,B3GALNT2,,,DLL1,,ARL3,NPHP1,,SCYL2,NDN,ZIC1,EHMT1,OFD1,TMX2,PSAT1,ECM1,TBCK,MSX2,SHH,MADD,,WAS,PSMD12,CACNA1I,NDUFV2,ALS2,CTSA,VPS41,,EDNRB,,CACNA1I,VPS51,PRICKLE2,,,DARS1,,DEPDC5,,,,,,,RNASEH2C,,POU3F3,ADH1C,NF2,BTD,,,ERCC6,TSEN54,CCNQ,KANSL1,GPSM2,L2HGDH,,APC,TMEM216,,,
,CACNA1A,ZEB2,RTTN,TMEM237,CEP120,ZEB2,STUB1,NCDN,SQSTM1,CACNA1I,RTEL1,STUB1,NAXE,FLNB,PRPH,UNC80,C9ORF72,CEP120,VPS13A,BSCL2,FKTN,DYNC1I2,,FLNB,TMEM231,FA2H,NTN1,DPM2,ATXN3,BTD,,TSEN54,,RTTN,NCDN,,SHH,RRM2B,,TMEM67,,LMNB1,,,PMPCA,PYCR2,SETX,TMEM106B,,,DDX6,NDN,,POMGNT1,,PUS3,,,,POMGNT1,KIAA0753,,SCN1A,BRF1,,TREM2,,,,,,,METTL5,NTN1,LYST,,TSEN54,TSEN54,DYNC1I2,,NCDN,,SPTAN1,TBCK,STUB1,DCC,DNM1L,CPT1C,BSCL2,FGFRL1,CTSC,,,COL4A1,,,ZIC1,VHL,TGFB3,,SOX2,MAT2A,GAS1,FOXH1,GSX2,DCC,,ASXL1,C2CD3,HTT,,SLC9A1,SLC9A1,,,LHX3,,CSPP1,CSPP1,,NDN,SNRPN,DCC,PCDH15,PDE6D,WARS2,FDXR,TIMMDC1,STUB1,,CDKN2B,,,AGRN,WDR26,MTRR,NDUFA13,PRPH,TIMMDC1,STUB1,,,,NTN1,CLCN3,SNRPN,,,CPLX1,,TSC2,,,,,,,ATXN3,,GSX2,VPS41,NF2,TARS1,,,CYP27A1,NCDN,NRAS,TBX20,NRAS,TBCD,,MTOR,RAD51,,,
,POLR3K,DCC,BRAT1,CEP120,B3GALNT2,ECM1,EXOSC3,RB1,ALS2,NCDN,DCC,BRAF,COLEC10,SLC26A2,TXN2,TARDBP,NIPA1,B3GALNT2,HTT,VPS13A,OPA1,FLVCR2,,POMT1,MKS1,COASY,VPS37D,RAC3,GCLC,TMEM67,,HK1,,STUB1,ASPM,,NCDN,ATXN3,,CPLANE1,,SPG11,,,CACNA1A,CEP152,,PLA2G6,,,POMT2,SMG8,,GMPPB,,SIN3A,,,,KIAA1109,PDE6D,,SCN9A,PIEZO2,,NEK1,,,,,,,BRAF,KDM4B,LMNB1,,ALX4,ADGRG1,FLVCR2,,RTTN,,DNM1L,STUB1,EXOSC3,CACNA1I,FA2H,NEFH,VPS13A,B3GALNT2,FOXF1,,,RNF213,,,FLNB,RELA,SMAD4,,LHX3,KANSL1,SHH,GLI2,SHH,SETD5,,B3GALNT2,KIDINS220,JPH3,,RTTN,RTTN,,,WFS1,,NPHP1,FLI1,,STUB1,NDN,TSEN54,ALG3,SPG11,ZEB2,STRADA,CACNA1I,EXOSC3,,NDN,,,ZEB2,PNPLA2,CLCN4,ND2,SPTLC1,CACNA1I,ERCC6,,,,KDM4B,CAMTA1,COX7B,,,FGFRL1,,MTOR,,,,,,,ADAR,,SHH,ATXN3,AKT1,PEX10,,,ERCC8,RB1,GLRX5,F2,ZNFX1,PLA2G6,,CDKN2A,KANSL1,,,
,STUB1,CACNA1I,TBCK,VPS35L,SEMA6B,TIMMDC1,TAF2,HYLS1,FLII,FLCN,TIMMDC1,FRMPD4,RAI1,MINPP1,ABCD1,ALG13,NEFH,SEMA6B,OPHN1,HTT,DCC,TSEN54,,TMEM216,TMEM216,CYP2U1,PLP1,GPC3,GJB1,COG2,,DPM2,,MACF1,RTTN,,RTTN,ATXN2,,RPE65,,PI4KA,,,DLG4,RTTN,,GABRA5,,,SYNCRIP,MGAT2,,ATXN2,,FAT4,,,,THOC2,,,GABRD,BMP4,,GRN,,,,,,,KIF14,CAMK2B,TWNK,,CEP120,RTTN,TSEN54,,SLC2A1,,FA2H,EXOSC3,TAF2,B3GALNT2,BCAP31,VPS37D,HTT,NCDN,EXOC8,,,PLOD3,,,POMT1,NF1,KANSL1,,SOX2,INPP5E,FOXH1,PTCH1,ELN,POMT2,,TMEM216,,PDE8B,,BRAT1,BRAT1,,,PROP1,,CSPP1,INPP5E,,SNRPN,OCA2,TSEN54,MAN2B1,SOX2,TRNL1,ZEB2,TSEN54,SMG8,,KANSL1,,,ECM1,NONO,MRE11,ASPA,SIGMAR1,LZTFL1,IBA57,,,,CAMK2B,,ALG13,,,PIK3CA,,NPRL3,,,,,,,IFIH1,,FOXH1,SNCA,BAP1,TXN2,,,DPM1,HYLS1,EXT1,ND5,SHANK3,SCO2,,TP53,INPP5E,,,
,EXOSC3,B3GALNT2,CACNA1A,B3GALNT2,RTTN,CACNA1I,SUMF1,ABCD1,NTN1,RTTN,CACNA1I,AP4B1,FLNB,CCND1,NBN,CYB5R3,SOD1,TMEM216,ATP6,TREM2,NDUFB9,ADGRG1,,RAD51,INPP5E,CYP27A1,PRPH,COX7B,ATXN3,PMPCA,,DNM1L,,CDK5RAP2,TSC2,,SLC2A1,PLP1,,TMEM237,,DNAJC3,,,VPS41,TRAPPC14,,GRN,,,TRMT1,FRMPD4,,POMT1,,TBCK,,,,CDC42,,,,,,VCP,,,,,,,CDK5RAP2,MED12L,SPG11,,B3GALNT2,TSEN54,ADGRG1,,RB1,,GFM2,ABCD1,SUMF1,NCDN,GFM2,PLP1,TREM2,FGFR1,GNAS,,,APP,,,TMEM216,,SMAD3,,SNRPN,SHH,GLI2,STIL,ZIC2,NDUFB8,,ARID2,,BSCL2,,TBCK,TBCK,,,HESX1,,FLI1,AHI1,,NDN,OCA2,ADGRG1,USH2A,LEPR,COX1,NACC1,NCDN,TAF2,,LEPR,,,TIMMDC1,,MAT2A,NDUFA4,PNPLA6,CEP290,EMC1,,,,MED12L,,KIDINS220,,,PRMT7,,PIK3CA,,,,,,,ATXN3,,GLI2,ATXN2,BAP1,KIF1A,,,CLCN3,ABCD1,CREBBP,GTF2I,ADAT3,AIFM1,,SETD2,SHH,,,
,HK1,NCDN,STUB1,SEMA6B,TMEM216,TSEN54,SNRPN,DPM2,SLC2A1,BRAT1,B3GALNT2,EMX2,TMEM216,EXT2,VCP,SMG9,PLP1,TBCK,COASY,OPHN1,TSEN54,TUBA1A,,KANSL1,TRNT,PANK2,DEAF1,CDC42,,DNM1L,,AP4B1,,SNRPN,CLIP1,,RB1,GCLC,,ALX4,,PNPLA6,,,MME,WDR62,,PSEN1,,,BCAS3,CDH15,,PMM2,,SON,,,,FKRP,,,,,,OPHN1,,,,,,,DPM1,OSTM1,PI4KA,,SEMA6B,STUB1,TUBA1A,,HYLS1,,TRRAP,SMG8,L2HGDH,RTTN,ALDH18A1,PRPH,OPHN1,SOX2,NPHP3,,,MAT2A,,,RAD51,,MFAP5,,PROP1,POMT2,PTCH1,ZIC2,ZIC2,SMARCE1,,MRE11,,VPS13A,,CACNA1A,CACNA1A,,,AVP,,INPP5E,CEP290,,OCA2,MAGEL2,DLL1,HNF1B,OFD1,TRNS1,,RB1,SUMF1,,SHH,,,CACNA1I,,PRICKLE2,ND3,SETX,NCDN,ATXN2,,,,OSTM1,,CDH15,,,EXT2,,NPRL3,,,,,,,SAMHD1,,SMCHD1,TRNT,PIK3CA,TBC1D24,,,ATN1,DPM2,RAI1,ACTB,NOTCH3,CHCHD10,,STRADA,POMT2,,,
